User-ID;ISBN;Book-Rating;Book-Title;Book-Author;Year-Of-Publication;City;State;Country;AgeGroup;content
276822;0060096195;10;The Boy Next Door;Meggin Cabot;2002;calgary;alberta;canada;Teen;The Boy Next Door Meggin Cabot 2002
276822;0786817070;10;Artemis Fowl (Artemis Fowl, Book 1);Eoin Colfer;2002;calgary;alberta;canada;Teen;Artemis Fowl (Artemis Fowl, Book 1) Eoin Colfer 2002
276822;1573248533;10;Random Acts of Kindness;Dawna Markova;2002;calgary;alberta;canada;Teen;Random Acts of Kindness Dawna Markova 2002
276925;002542730X;10;Politically Correct Bedtime Stories: Modern Tales for Our Life and Times;James Finn Garner;1994;barcelona;barcelona;spain;Young Adult;Politically Correct Bedtime Stories: Modern Tales for Our Life and Times James Finn Garner 1994
276925;0385504209;8;The Da Vinci Code;Dan Brown;2003;barcelona;barcelona;spain;Young Adult;The Da Vinci Code Dan Brown 2003
276925;0553275283;8;Love Story;Erich Segal;1988;barcelona;barcelona;spain;Young Adult;Love Story Erich Segal 1988
276929;2266104535;2;Et Si C'Etait Vrai / If This Were Only True;Marc Levy;2001;collex;geneva;switzerland;Adult;Et Si C'Etait Vrai / If This Were Only True Marc Levy 2001
276964;0345354621;10;The Terminal Man;Michael Crichton;1988;villa ridge;missouri;usa;Adult;The Terminal Man Michael Crichton 1988
276964;0440220602;9;The Chamber;John Grisham;1995;villa ridge;missouri;usa;Adult;The Chamber John Grisham 1995
276964;0684867621;8;The Girl Who Loved Tom Gordon : A Novel;Stephen King;1999;villa ridge;missouri;usa;Adult;The Girl Who Loved Tom Gordon : A Novel Stephen King 1999
276964;0812550307;10;The Fires of Heaven (The Wheel of Time, Book 5);Robert Jordan;1994;villa ridge;missouri;usa;Adult;The Fires of Heaven (The Wheel of Time, Book 5) Robert Jordan 1994
276964;0886773741;7;Tailchaser's Song;Tad Williams;1994;villa ridge;missouri;usa;Adult;Tailchaser's Song Tad Williams 1994
276994;3492045170;7;Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush;Michael Moore;2003;wien;wien;austria;Young Adult;Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush Michael Moore 2003
277157;0316154059;5;City of Bones;Michael Connelly;2002;garden grove;california;usa;Senior;City of Bones Michael Connelly 2002
277157;0345452550;7;A Cold Heart: An Alex Delaware Novel;JONATHAN KELLERMAN;2003;garden grove;california;usa;Senior;A Cold Heart: An Alex Delaware Novel JONATHAN KELLERMAN 2003
277157;0375727981;5;Saving Faith;DAVID BALDACCI;2000;garden grove;california;usa;Senior;Saving Faith DAVID BALDACCI 2000
277157;0399141340;8;Chance;Robert B. Parker;1996;garden grove;california;usa;Senior;Chance Robert B. Parker 1996
277157;0399146504;7;The Devil's Code;John Sandford;2000;garden grove;california;usa;Senior;The Devil's Code John Sandford 2000
277157;0399146687;7;Perish Twice;Robert B. Parker;2000;garden grove;california;usa;Senior;Perish Twice Robert B. Parker 2000
277157;0399148337;6;Midnight Runner;Jack Higgins;2002;garden grove;california;usa;Senior;Midnight Runner Jack Higgins 2002
277157;0399148639;6;Mortal Prey;John Sandford;2002;garden grove;california;usa;Senior;Mortal Prey John Sandford 2002
277157;0399151451;7;Bad Business;Robert B. Parker;2004;garden grove;california;usa;Senior;Bad Business Robert B. Parker 2004
277157;0671024094;7;The Coffin Dancer (Lincoln Rhyme Novels (Paperback));Jeffery Deaver;1999;garden grove;california;usa;Senior;The Coffin Dancer (Lincoln Rhyme Novels (Paperback)) Jeffery Deaver 1999
277157;0679450408;6;Silent Witness;Richard North Patterson;1997;garden grove;california;usa;Senior;Silent Witness Richard North Patterson 1997
277157;074320607X;7;Nighttime Is My Time (Clark, Mary Higgins);Mary Higgins Clark;2004;garden grove;california;usa;Senior;Nighttime Is My Time (Clark, Mary Higgins) Mary Higgins Clark 2004
277157;0743486226;7;"Angels &amp; Demons";Dan Brown;2003;garden grove;california;usa;Senior;"Angels &amp; Demons Dan Brown 2003"
277203;039480001X;9;The Cat in the Hat;Dr. Seuss;1957;olympia;washington;usa;Teen;The Cat in the Hat Dr. Seuss 1957
